City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Holualoa,19.6228,-155.9522,301.23,69,0,3.6,US,1697143034
1,Ad Dabbah,18.05,30.95,305.6,18,0,9.32,SD,1697143027
2,Port-Aux-Francais,-49.35,70.2167,275.34,81,79,7.35,TF,1697142925
3,Waitangi,-43.9535,-176.5597,283.61,76,88,4.02,NZ,1697142472
4,Port-Cartier,50.0334,-66.8654,284.12,93,100,2.19,CA,1697143034
5,Avarua,-21.2078,-159.775,298.18,78,20,3.09,CK,1697143034
6,Domna,51.8971,113.1573,275.24,75,4,2.0,RU,1697143034
7,Iqaluit,63.7506,-68.5145,273.0,80,40,1.03,CA,1697143034
8,Yellowknife,62.456,-114.3525,279.44,100,100,1.54,CA,1697142901
9,Puerto Natales,-51.7236,-72.4875,286.4,50,20,10.29,CL,1697142786
10,Fortuna,40.5982,-124.1573,293.67,67,0,1.34,US,1697143035
11,Tiksi,71.6872,128.8694,268.26,96,100,4.35,RU,1697143035
12,Albany,42.6001,-73.9662,290.7,61,52,3.63,US,1697143035
13,Bethel,41.3712,-73.414,294.27,49,0,1.54,US,1697143005
14,Nanfeng,23.7434,111.7959,294.3,84,93,1.32,CN,1697143035
15,Poronaysk,49.2167,143.1167,282.75,67,0,1.57,RU,1697143035
16,Mejit,10.2753,170.8646,300.74,79,40,4.0,MH,1697143035
17,Wailua Homesteads,22.0669,-159.378,301.55,67,40,5.14,US,1697143030
18,Palikir - National Government Center,6.9248,158.1611,297.56,100,100,2.06,FM,1697143035
19,Papatowai,-46.5619,169.4708,288.21,52,94,6.72,NZ,1697143035
20,Puerto Ayora,-0.7393,-90.3518,301.13,75,75,5.38,EC,1697142742
21,Tralee,52.2704,-9.7026,284.99,96,100,1.93,IE,1697143006
22,Gadzhiyevo,69.2551,33.3362,276.56,84,100,10.84,RU,1697142796
23,Jamestown,42.097,-79.2353,288.92,62,75,4.63,US,1697143036
24,Kattivakkam,13.2167,80.3167,301.52,80,100,2.24,IN,1697143036
25,Bikenibeu Village,1.3673,173.1241,303.13,74,20,1.03,KI,1697143036
26,Coruripe,-10.1256,-36.1756,298.11,82,5,6.35,BR,1697142953
27,Kasongo-Lunda,-6.4667,16.8167,294.75,91,98,1.07,CD,1697143036
28,Isafjordur,66.0755,-23.124,273.74,94,100,15.1,IS,1697142938
29,Stanley,54.868,-1.6985,279.7,90,0,1.54,GB,1697142849
30,Atyashevo,54.5644,46.0691,280.88,67,100,11.17,RU,1697143036
31,Ponta Delgada,37.7333,-25.6667,293.81,83,20,5.66,PT,1697143036
32,Blackmans Bay,-43.0167,147.3167,282.22,87,85,0.45,AU,1697143037
33,Barcelos,41.5388,-8.6151,297.55,49,100,1.81,PT,1697142922
34,Edinburgh Of The Seven Seas,-37.0676,-12.3116,286.15,79,27,3.4,SH,1697143037
35,Port Elizabeth,-33.918,25.5701,290.31,81,0,9.77,ZA,1697143037
36,Mana,5.6592,-53.7767,301.3,75,47,5.2,GF,1697143037
37,Lihue,21.9789,-159.3672,301.89,69,40,5.14,US,1697143037
38,Anadyr,64.75,177.4833,278.43,93,75,10.0,RU,1697142751
39,Salinopolis,-0.6136,-47.3561,300.74,76,92,5.11,BR,1697143037
40,Dubai,25.2582,55.3047,305.11,62,0,1.03,AE,1697142658
41,Fada,9.5667,8.3,293.98,85,100,0.81,NG,1697143037
42,Aykhal,66.0,111.5,268.74,78,60,4.92,RU,1697142799
43,Bredasdorp,-34.5322,20.0403,287.18,78,96,4.83,ZA,1697142929
44,Adamstown,-25.066,-130.1015,293.99,70,97,5.15,PN,1697143038
45,Sitka,57.0531,-135.33,286.09,71,100,9.77,US,1697143028
46,Laguna,38.421,-121.4238,299.42,35,0,4.63,US,1697143017
47,Vila Velha,-20.3297,-40.2925,300.12,81,0,9.26,BR,1697143038
48,Connell,46.6635,-118.8611,290.93,56,1,2.24,US,1697142926
49,Constantia,44.1833,28.65,287.53,73,0,6.31,RO,1697143038
50,Plesetsk,62.708,40.2916,278.73,79,95,5.57,RU,1697143038
51,Ugoofaaru,5.6667,73.0,300.32,79,98,3.87,MV,1697143038
52,Payyannur,12.1,75.2,298.13,93,97,1.29,IN,1697143038
53,Oranjemund,-28.55,16.4333,288.23,88,0,4.66,NA,1697143038
54,Tsiombe,-25.3,45.4833,294.25,79,52,7.4,MG,1697142962
55,Beau Vallon,-20.4189,57.6953,295.49,79,8,2.83,MU,1697143039
56,Grytviken,-54.2811,-36.5092,270.85,90,100,1.06,GS,1697143039
57,Vilhena,-12.7406,-60.1458,300.27,69,75,4.12,BR,1697143039
58,Longyearbyen,78.2186,15.6401,271.06,64,75,4.63,SJ,1697142899
59,Ushuaia,-54.8,-68.3,281.96,56,20,15.43,AR,1697142933
60,Ar Ruways,24.1103,52.7306,303.2,64,0,2.68,AE,1697143039
